jahr;stichtag;stadtbezirk_id;stadtbezirk_name;einw_ges;einw_alter_unter1j;einw_alter_1bis_unter3j;einw_alter_3bis_unter5j;einw_alter_5bis_unter6j;einw_alter_6bis_unter10j;einw_alter_10bis_unter14j;einw_alter_14bis_unter15j;einw_alter_15bis_unter18j;einw_alter_18bis_unter21j;einw_alter_21bis_unter25j;einw_alter_25bis_unter30j;einw_alter_30bis_unter40j;einw_alter_40bis_unter45j;einw_alter_45bis_unter60j;einw_alter_60bis_unter65j;einw_alter_65bis_unter70j;einw_alter_70bis_unter75j;einw_alter_75j_u_aelter;durchschnittsalter_in_jahren
2016;20161231;057110009;Senne;20964;202;405;410;215;845;875;215;728;730;871;1188;2527;1300;4875;1291;1024;872;2391;43,5
2016;20160630;057110000;Mitte;79645;829;1420;1270;619;2443;2274;600;1904;2853;5922;8724;13291;5087;15986;3957;3187;2610;6669;40,7
2016;20160630;057110001;Schildesche;41660;385;767;739;395;1320;1364;342;1056;1550;2902;3557;5437;2522;8515;2295;1849;1803;4862;43
2016;20160630;057110002;Gadderbaum;10397;69;160;127;81;334;331;93;318;432;524;709;1239;673;2520;665;484;407;1231;44,6
2016;20160630;057110003;Brackwede;39944;367;731;705;338;1439;1527;382;1248;1443;1907;2702;4974;2553;8891;2278;1954;1770;4735;43,7
2016;20160630;057110004;Dornberg;19127;147;310;321;168;630;650;173;566;652;1014;1171;2151;1144;4350;1224;1098;972;2386;45,1
2016;20160630;057110005;Jöllenbeck;22106;201;414;421;216;812;915;206;779;791;905;1174;2390;1339;5309;1350;1238;1065;2581;44,4
2016;20160630;057110006;Heepen;47981;456;986;1021;496;2077;2187;563;1784;1870;2325;2930;5638;2973;10171;2794;2352;1891;5467;42,4
2016;20160630;057110007;Stieghorst;32325;322;688;663;326;1270;1418;361;1093;1147;1532;2113;3865;1930;7154;1902;1651;1261;3629;42,8
2016;20160630;057110008;Sennestadt;21558;210;428;446;185;888;896;212;777;757;911;1294;2470;1231;4561;1269;997;920;3106;44,3
2016;20160630;057110009;Senne;20900;200;402;384;218;828;871;214;729;715;930;1212;2489;1278;4862;1296;1002;901;2369;43,5
2015;20151231;057110000;Mitte;79153;796;1368;1237;626;2418;2277;577;1891;2823;5824;8661;13201;5133;15918;3874;3126;2736;6667;40,8
2015;20151231;057110001;Schildesche;41395;404;731;736;365;1342;1312;345;1079;1582;2900;3431;5402;2525;8479;2252;1816;1882;4812;43
2015;20151231;057110002;Gadderbaum;10367;61;158;130;75;340;339;87;324;410;550;710;1215;680;2511;649;464;432;1232;44,6
2015;20151231;057110003;Brackwede;39729;350;719;683;342;1409;1489;385;1261;1400;1995;2624;4932;2559;8854;2219;1938;1885;4685;43,8
2015;20151231;057110004;Dornberg;19126;161;306;307;194;615;662;190;541;652;1026;1174;2119;1181;4353;1205;1054;1011;2375;45,1
2015;20151231;057110005;Jöllenbeck;21919;173;426;430;205;793;887;230;769;753;893;1141;2355;1390;5289;1317;1211;1127;2530;44,5
2015;20151231;057110006;Heepen;48028;423;1014;1005;515;2090;2183;525;1793;1864;2367;2975;5607;3036;10126;2818;2263;2007;5417;42,3
2015;20151231;057110007;Stieghorst;32194;334;666;668;317;1266;1428;361;1068;1139;1545;2074;3850;1959;7146;1844;1611;1321;3597;42,8
2015;20151231;057110008;Sennestadt;21367;188;429;430;196;879;896;210;755;737;898;1255;2416;1237;4561;1220;968;998;3094;44,5
2015;20151231;057110009;Senne;20720;203;387;387;191;832;865;219;729;693;926;1161;2479;1260;4846;1290;953;954;2345;43,6
2015;20150630;057110000;Mitte;78144;784;1294;1278;594;2342;2245;572;1830;2626;5744;8595;13016;5172;15735;3889;3019;2805;6604;40,9
2015;20150630;057110001;Schildesche;41078;381;740;759;305;1368;1330;326;1099;1460;2804;3382;5396;2496;8493;2212;1748;2004;4775;43,1
2015;20150630;057110002;Gadderbaum;10339;83;132;134;82;332;340;95;319;385;572;684;1200;712;2526;608;462;463;1210;44,6
2015;20150630;057110003;Brackwede;39005;347;693;653;354;1381;1437;373;1268;1316;1926;2452;4753;2510;8834;2176;1887;2000;4645;44,1
2015;20150630;057110004;Dornberg;19037;155;301;327;167;628;649;183;538;613;1034;1149;2075;1206;4366;1195;1023;1077;2351;45,2
2015;20150630;057110005;Jöllenbeck;21971;185;414;431;196;828;857;246;782;755;933;1120;2349;1459;5299;1302;1154;1207;2454;44,3
2015;20150630;057110006;Heepen;47065;434;942;987;500;2013;2137;536;1747;1689;2275;2848;5468;3006;10050;2805;2139;2139;5350;42,7
2015;20150630;057110007;Stieghorst;31965;311;659;659;296;1290;1395;353;1097;1114;1544;2000;3786;2000;7120;1836;1536;1409;3560;42,9
2015;20150630;057110008;Sennestadt;21237;199;426;406;197;869;871;237;756;689;905;1235;2334;1244;4616;1192;939;1045;3077;44,6
2015;20150630;057110009;Senne;20366;191;360;371;187;804;845;227;719;687;887;1122;2385;1250;4842;1251;933;1002;2303;43,8
2014;20141231;057110000;Mitte;78043;728;1327;1251;587;2376;2209;576;1865;2557;5815;8584;12895;5278;15636;3828;2981;2945;6605;41
